item_id,group_id,writer_id,validation_fold
210,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,1
2100,component-4f5131ea0c5a3e7f,02b97aa07c2fc9c81b5520592c7e8d2c,1
2103,component-8cd32e25edb628ca,d4518d3887ca266ed7a8748afb75119e,0
2104,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,1
2107,component-74e7091094989907,5f776c3cf521d418ddc65a2f8a72e9e3,1
2108,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,1
2110,component-95d11a1a88e7893f,12511b11e77c0fd9f016a620eaa1f7b4,1
2111,component-9053fa05b6952cf7,cbaffa5220b94d323ddee491e1550d4d,2
2113,component-1dce26a45d8d16ae,6d26d4ff619aec245a536fe39cd511d8,2
2119,component-20756d2b18a439fe,9f90552a56ef097d5f437cfff57728af,0
2121,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,1
2124,component-70e8d52a9b4616e7,15896e22b3eafb855151e1c79d5a7d8a,1
2127,component-8cd32e25edb628ca,d4518d3887ca266ed7a8748afb75119e,0
2131,component-c49b0dece16c3a6b,3fc372a6edde3e1d1172073cf6b72e4d,1
2132,component-8448796b6e74894c,10d24bcc5693e93669732a9176758431,1
2133,component-3c1d9213f8765a2a,d3d17a7acd10ee59dfd8feabbcab5288,2
2135,component-fb48aaf65ec04e4b,74fcd544483757dfac700e09f30c65ba,1
2136,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,1
2140,component-c29db52b9be8a7ed,50a61e7cf6e706ffc5df494c659bd1e9,1
2150,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,1
2152,component-1422ba74bf2e76ff,cf2aa86a12eb1e74fb275e391fd0a0b4,0
2154,component-f5e957604ebe365f,3e3e4c9549afb1fbf9d387f58a4ffddc,2
2156,component-188db7f5c98d585b,4e87c8702d10784cb46c8d0f9be63210,0
2157,component-ddd8121412f29434,094fc4b0a71388d136fc471ae818e529,1
2159,component-c29db52b9be8a7ed,50a61e7cf6e706ffc5df494c659bd1e9,1
2164,component-c29db52b9be8a7ed,50a61e7cf6e706ffc5df494c659bd1e9,1
2165,component-71f051c220b59a0d,ba00e1104f4fa24aa2ebc9fa747197cc,0
217,component-16badfc6202cb3f8,99907d478cdbaeb5388db3459408282c,1
2170,component-8448796b6e74894c,10d24bcc5693e93669732a9176758431,1
2171,component-9053fa05b6952cf7,cbaffa5220b94d323ddee491e1550d4d,2
2174,component-1dce26a45d8d16ae,6d26d4ff619aec245a536fe39cd511d8,2
2175,component-e289e5f7d06013a3,8fa922a1116d1ab2ebef342a59180c7c,2
2183,component-bc83cbb2d6dcba93,0520aa2bf9b054591f00957b9e725796,2
2185,component-c60d3692ebbe6f8c,3e92c2134d4599ed8594b80f07dc91ec,0
2188,component-95d11a1a88e7893f,12511b11e77c0fd9f016a620eaa1f7b4,1
2190,component-0b1c1e3db50a8caa,17220e612ae7550dbdcf31ac8b40ebb7,1
2196,component-ddd8121412f29434,094fc4b0a71388d136fc471ae818e529,1
