item_id,group_id,writer_id,test_fold
21,component-6f4b6612125fb3a0,56a75bcc6a524cfd42ed603bef923e85,1
2105,component-9c93522c01b6a1b5,50ca28f275838edf4b8744a629543dd2,1
2109,component-62fb418140a7ee41,205b46648f147e1a5ef52ea07af00af6,4
2115,component-4459b2909cef1e99,1960761e30eaf699ec8320c5fca813dc,3
2117,component-23147de999739184,35c0585a748521e4e02f2cb0b1c5a670,2
2118,component-1788c74b1c926286,c079d2fd7e1214f5a318eeb1cee5a7db,1
2120,component-016562d2d357325c,4005ca6527b27dc147853df3387fca12,4
2129,component-33f849de3622f07a,e0eb5b76296e8afea61767d14c2885cd,4
213,component-d48ff4b2f68a10fd,f8347c3a2b59b3bdd27a1b275ceef1af,3
2134,component-daab3aa68185b677,36542ad464958db9867f6a7844234c35,1
2138,component-b3773ecbf7494c6f,69451de02e2c26787d69a77def43c5be,4
2142,component-8c9089be2f18fb28,adce8547f81fd2a416f48e56ce784a72,2
2143,component-21113a3f71a6ecda,605bb37881140f45cfecadf22e83eac7,0
2144,component-db6529e972a44a4d,89e5c16e9c4661550ca5a49007af19b5,3
2145,component-41332273b0913dad,cb83b6f7181863ab7ccd76e203fb2a9e,4
2158,component-f06ca10f4977ea7a,82f4ae46a51f902d2c5d146f3b8d49e8,2
2161,component-f2bdda2192b2a979,ab32e118a4221396910a04bd1b42e3fe,0
2163,component-5e9abe7a56edadad,97d57987632cff989a344d1fc4640dd5,2
2168,component-59933d776452c8a5,e62a8e7687dd09e9edb49cdd79ac81b9,1
2169,component-e2135c76ca7863e5,e5950c8af106349d3bde77b92b587c32,0
2172,component-77334823791bea53,c102a012748e4ac784229ac8f1932777,4
2179,component-9e6296be2bb963df,b0cc72b05e56c62f78c7417f5c0fc7cd,1
2180,component-25dbd7ca6d959934,e1cef712b112981646a3a7af02072884,1
2182,component-93989d0f14e7ec63,052c3661f71366f3b0bbb798cf69de98,0
2187,component-2d2c33c52e3df492,fe5e7b6eb0d92b112cb558c9628546c0,1
2193,component-d1b0b7687f7bca92,b871e5cc66f76ca04b55866a15dd4665,3
2194,component-24210acff902c1fa,175f826e4bf4ef42ee78185537248c81,1
2195,component-5bc05e241527d767,b862b6c8067666d74b0e1aface0b0d3e,0
2198,component-815106adc7256d3f,a5ffc196aa062589df3cdaf7adae5f8b,2
220,component-36790ecd55c2030d,f29aa2d9930b2c3005e4176f70479f9e,2
2210,component-4321a844ee760ee6,60fad6da449d8bcc404eeb07b1bb643a,3
2211,component-ac1964eb089654e0,8ed96462e14b7e08362c992268b31ef3,0
2212,component-05c8bd5d4dcdb18b,5898c37a9a46b8c9b289c24611253043,4
2213,component-88cf986449b61aeb,5cb2ac870c6c24a267d36411c5eee617,2
2218,component-58763bceaddcad67,8bf45189c0cd6ac9db540664ab032a25,4
2224,component-9d9f3c4ea93d3640,21b28f3c505cb053361b9073227889b0,1
2225,component-90d441ee3fce238c,7a8267f910ceb6f68f247156d7efac4d,2
2226,component-cf2661b79280502b,0cb857d86212393e9ad6d210ed3e343c,1
2227,component-2730a07b09001328,c2df42f2a4614a641d097d558dc2e0c6,1
2228,component-3f14a60b7590cb27,b446e82d7880da2ac09bdfa1fcca6753,0
2230,component-903a4207be29cb52,c68ece4523fd19464605632c3632e0dc,1
2231,component-b847856411aef26f,b9a4169a759025fb6031d204a5f82aa1,0
224,component-84a5092e4a5b6fe9,1a294e5ade965c4d599b18c0dae9fc70,1
228,component-9d693eeee1d1899c,b83c0d7f087ed2c736f31962ea1d8e17,0
23,component-535fa30d7e25dd8a,2ec85e1f6cef3d83e8d87b3119640cfa,3
230,component-a0eaec5a55dc2f5b,db66ca2f0446d1b946f395b720b518ec,1
249,component-9f484139a27415ae,1a6e7c698caf805c2ef14127b6c528dc,2
253,component-e7866fdc6672f827,6ea358bdd2bb85cd3a1d85667dce65c9,0
255,component-9556b82499cc0aaf,18fa800cc02bc318c94d6415c23172cd,4
256,component-51e8ea280b44e169,2475d464084cccf82ac3e72ea8721a5c,2
26,component-5f9c4ab08cac7457,fa0a4aca7afe8e9562355122b283d553,4
261,component-e888a676e1926d0c,09dcac2ca489e8cd6bc7c1b0c78fa8e9,1
271,component-3635a91e3da857f7,29c04fe1c8b2c4bc979ee3ea2ded76bf,1
272,component-1c6c0bb2c7ecdc3b,0772472833698004228e919149c69701,3
276,component-c76b405781134be1,5ad9062554ff2bc84868c1e4ce072aae,2
280,component-7f0a22117f8fe017,7e151ab9958bec33ff7d260c0003c16a,0
281,component-71a1c003a2b855d8,7941a524af14db5fab1eb72f815781bd,4
287,component-d7cdaa5ca0582076,ca219a7015d8f23e3760343f213f27c5,3
289,component-af180e4359fc6179,a898deab1798d35f3befeb7ddee39ebd,1
294,component-2cfc8ccbd7c0b176,2fbef97d89a05cfd623bc37ddd434d5f,0
299,component-308831041ea4863c,a684c0272177a378423eaf691dc51863,0
30,component-624b60c58c9d8bfb,65846af3dc8205fc45821efda37a6b44,4
31009,component-62685f4ccf56fe93,dafb1d4eefc26050cf648702aeaf3e3e,1
31015,component-816bc02fbbf88f8d,47a9c1bffcd06af0b4c7222592e6e71c,3
31021,component-984810c200880c15,4d82215ac84dc6962609bce7dde2ab5e,4
31029,component-b01ad0e16a64d27d,cc22064d0f2e9dc107b71f128d12132f,4
31034,component-6276525dfe8042ee,d7a91519f90cf0516f1fb288a4e63730,2
31056,component-f1b86817730760df,1c22eb9ac3587afa26de83acc19b5772,0
31060,component-536ad0fe2c3a10bb,65195ccb68b996e59a59b8113029fc06,2
31062,component-625d5d53a985d0b3,e7d632e4fd32c99001a812bd686b3786,0
31067,component-1587a463ee5e41bb,3e52cecfb9079ca67b8369f67164b402,0
3107,component-e68adee72e4d3c42,21f3f81fbdf331fdc8eef7c975079d3c,4
31070,component-479184ba020423a6,67f4391809a0901097f29c9d82f9d418,0
31077,component-8cccfd6feb340e4c,9c63d643a2337f34ef45e442786aea86,1
31083,component-0f1f13ef2ed5183e,627f2acba04973368b49d632795f2762,3
31089,component-715e8d519610db31,d577a94864ba13e0ccc1efa7fc6d5d73,2
31098,component-8a963628795cc850,520b2c51459c7023be14937957e51f7c,0
31114,component-2be8ef0e6d06b373,8344bfb2762619cffe50d45469ad0799,2
31116,component-c26417a92eda5be6,8c86dc5847881aa923ade7023b47b2cb,3
31118,component-f6fb5309a1e357ce,0908acdb1bf458e9692cabe5fca0ab77,3
31124,component-86be1e022f34aae2,737684e5c8756849c4caf4dc75bc72d0,1
31129,component-00797780986dfc5a,70156a26f765ebf26e0089b01b76089c,2
3113,component-1a67316dfbb24cbd,f05e045c8ed31280a52970d8ae8a0235,2
31141,component-c3111bc677b90c56,d498bfc4525861a58ce664bece576d2b,1
31143,component-aa350cd9c8591625,9a41dab4afa2b127c83eb9325948ec9b,2
31145,component-37b7d328d51f88bc,cf70ee1b8f701d19a837aa230097eb3a,2
31146,component-a7233acf9f73483c,39e08f30e2d19ae3e10e3c1269647f79,2
31147,component-a7a10aa77202fc10,f7bd16b5a26dadc65d362f5d0fe0ba10,3
31154,component-4b30823e8e3a82df,8e8334b3b8232a6feb1cd72f5935cb2c,1
3117,component-a7371e91d028d2aa,94b6229d5895208ff9529888a4cd4070,4
31174,component-e154f3b0e8666247,c6d7568dc8ae8811b077c444876a835c,3
31177,component-0a82de0b9561ea87,f3ec2a1bc9c25030d4e35b7ca1444a71,0
31179,component-7759489f703ee03e,0765dd660474a38631f419d84d3483b2,1
3118,component-15d84d60575e5e65,94122fbc9f7c40882d583faed3fcb6e9,3
31180,component-2d3f2d14c058e044,1a7a889d7acdeaa79db9f740c3c18028,4
31181,component-e801fdfd3b134a34,e25108a3f107a3b2441a428ba648bf68,2
31183,component-f5fcd155b5f58783,2c0dcf6ab7c40921f0150f31ce6f5182,0
31203,component-eaf3a2df0fc44d5f,9900dbb92da294971fd781c3f4829d6d,1
31207,component-413305cffb6af6aa,0dbf4a58cf4e4951e686be68bbc767e9,1
31220,component-cd110b42369c38b0,6398fbae4d2734fb10ada0c1e48f0af4,0
31227,component-7e5ee7fe75e70ebe,6af6d5435c069428dd27e2f4f3c0dbda,1
31233,component-c55e87c102a3c7e6,6037d3ee8c41899a6f997a1984844dfd,3
31234,component-9845d84fa4365361,5d84053b1c1cad5134d4579a6e2670ba,3
31240,component-79f785da0b1593cc,819e766397b0c59dcd16cc5bb1c81f73,2
31269,component-082f83a7e6a08543,60d1c55e8f834c7f7cf6c82e2dbf7783,1
31280,component-03826f1c0aca055d,5e594e58b21e03bf20982bf5728c6b77,0
31285,component-bf9e705d0081f269,c9e94b23bc222429a71db651222cf8e3,1
31286,component-7a98d3f7e87c5408,9c8b7ce012f7eeb888991b08957bf13d,2
31292,component-fe9081daaba2f26e,fc7db518aa49aa9f215c17bab866de4b,2
313,component-8efbbe9bc19ad2e0,8c706a521445f742de4e47bab1bbb07b,4
31304,component-99b8a24ff27e0983,5851f856cc4711d06cdf0215b39f06b8,2
31307,component-fc7b82f53c0af408,c8bb3385421b223591a5daafa7cb016b,2
3131,component-656d5be9b8439710,1d6a3902de214de4307b74fd3f6463a0,1
31313,component-1875853a561ecb98,85c92d61e2a959e80696cb20cc93e434,0
31317,component-0aa2440ee35bb5a4,2224be84c23256a31a7ffa18ac9e93a9,2
31330,component-a35080474fc86908,15314af09ca00111816e02dda2ccbd7b,2
31332,component-965e70fde48279c6,6f1cce838f89fbe78b3ddc400382dd77,0
31338,component-59dac82d866bbc1e,f2baf9e0c987e8edf95bd34d44130f26,0
31340,component-b448a663632994ad,18d6da91e10697b3ec732d56bd68fd8d,0
31346,component-c42b889c9b09651c,779ffc5af31d8a273a59ce1cadc36be4,1
31347,component-e62117f7b8d2cbdb,ff1ef95b11f2c2ac7bc6dc67f7099add,0
31360,component-d00188e643170f07,0d863f1e297c7f6ef64d9118e87fa281,3
31361,component-f54ff4900bfc30d7,1398250c781dea5b21132884d11e0fb1,1
3137,component-1f023880f785dbb4,436f454fd7bb0d7c2caf10d688d1f558,2
31378,component-6f351bbf526aa8cd,a833bb6b0ef78c9ae86b3da33e4dee5f,0
3138,component-206b16537b0e6534,5c36db4b5537c20a412437ff0d2766a3,4
31382,component-1f41a4cbd46ab745,0c473eb316694327d26b4bcd43197359,1
31387,component-099e0e3971a4fbd3,255e9414afca4d8219d1079a138a19d7,3
31390,component-55eaa72f053b1044,9cf2c2d10125638b812caa1191258add,2
31398,component-4d8800f32f42bdcf,918798c6920d19e67c74c5cd63bb44f8,0
314,component-748064be03a08df8,3d2a1bc8fa490df3df22c9e2e844a381,0
3140,component-3a892eea646c4e4f,844f6334def3ae73d68941293ba1a810,4
31415,component-9183c29ea013b982,c90357d94c1520bc121a94cdbe43dd93,2
31421,component-e066ecc2de42566a,4c7ec460b8dcf3e8bdd3bb41f34cf1a8,0
3143,component-7dbc9e01698ff644,9e79caa0730d9cdf96f9094e682cbbae,1
315,component-377adeb4cd4096ad,61e938e732787ffc421ec63cc232865e,0
3150,component-4d364fbb3786fc31,49ff1270771704b00cca6db35dbc34df,2
3157,component-0b9dad0346d25b6b,642204b130994203de0c9cfe69d7f798,1
3159,component-ef5839d610a3567e,4d40af8f54708f087b458f72b12ecf11,1
3170,component-d7827558d408d7af,f16f0823f2cf06570f8a255ea9ca7dfa,2
3187,component-d5b5fab21d68556e,2c4c0412800a34a81e2a322ed7cbadd3,3
3189,component-ca0f11ca98da8843,19c1037bf616bb87dceb485d85397519,1
3192,component-59f6c59d4e41b4a7,4d896f417fde9960a21f24dfbc5285a2,3
3195,component-fdd25b9aeb3d9e62,d993af4d86740fefa7a4a942936a9d15,1
3207,component-098ce5419c70dd06,0b1cd984d5019e2e4668dd86cc08882e,2
3211,component-4a8ed6268c1741e4,e1b2c1b21ad212cdb9ae245a10afdb13,3
3214,component-1ef3f6149e996293,d21853a98ab1f510c35880b76d670d35,0
3220,component-698eddbc91b225fd,3622f68751202a46a5f49dfc35df2418,2
3223,component-94f802729d9e69d6,de9011087cbe34112d9b3b614637caf0,2
3225,component-283fb243c9b850e7,0ebc9b51f550456f8b204d869b67dfbb,2
323,component-3949ac1596ec7710,f1879899027c06fb429e503e60f5c1c4,1
3231,component-3c2ef1901bee3a48,3bf078ac893453d3294dda602fcc4b4d,2
3233,component-84d133d968520db5,4e7e8267143b96616ad6890d9b42ad19,0
3237,component-078468f27b81b84b,31a243dfd89737490e25545aa6240d74,1
3248,component-59ae69c1396f6995,e359348a342d04b3eb4cbf89abb9da69,3
3254,component-d67e8edaa3a287c3,c1be029bf06d713615883687f7016a40,2
3260,component-2fac394011e7d326,ea5637f9b20a8d9c102fee7963b08aec,4
3263,component-5b23e77bcbfd4804,c7098f0a126b134fb549783b6e58846a,2
3264,component-587887b1f664c61a,2da58b964ceb167942487b363a674f66,2
3267,component-f35bdfbc3b7e089e,ab2cfc1c998249d47f74dfe08f5f45b1,4
3272,component-f0ca4b323465b546,97a9b9096695cd89f6444982de2c0fbf,3
3274,component-e118593a973128c9,0ba8f65361474523ae17bf128c8d972f,1
3283,component-9ca5e9b3a5cce0e6,7813a970112c652806926c7650e4ce6c,1
3285,component-aff4b5855447e95d,5a384f5d903d44931e23a4af13556b8a,3
3287,component-bd7f4d53f4b1c920,dada0db86a587491505f54eea24204de,3
3290,component-8a9745162300f3c1,3b84c8847b0949094005c2d62bac5f2d,2
3292,component-7ca2552ffd0e38de,86657bc676b304780e53116e81d6868f,3
3302,component-8b0a2da322fa2e15,8078038a8fd5392eca0f8ed2c50193d9,3
3315,component-715da20ae91a9708,bf414e1bf3a80f40cca0781cdd656fd7,1
3319,component-e40f403944f152f7,b6a29188bfe6d4920991ba77f0a97bcd,4
3320,component-d146f0489a920009,ae14713aad43a0e9eae27490de1264db,1
3321,component-eb9cf4c533aed16e,eb24699639abad4587fca7fc383f6788,2
3325,component-f025893712b09869,ca523250243fc5d9c72e2e473b4ea24d,3
3328,component-944db51d0e31fc3a,af78e4c65e499777d22103159e58380c,1
3338,component-312e13097f2ab4e2,2a29fb3de5f49909667cf9939e9e25e0,3
3339,component-4cf84afda7c7875b,d97dc54a2c25bdf65f63104ec2692954,4
