item_id,group_id,conversation_id,test_fold
0:0:0,component-e8ca2bd51293d64a,0,4
10000:0:0,component-1bed27647408a8f4,10000,2
10001:0:0,component-92a3272f993ad84e,10001,0
10002:0:0,component-8f8686dd158d98a0,10002,2
10003:0:0,component-e648f1d36cfe7e11,10003,4
10004:0:0,component-73f5110a8afd0836,10004,1
10005:0:0,component-9b28197587744104,10005,2
10006:0:0,component-7384d664050680c2,10006,4
10006:2:0,component-7384d664050680c2,10006,4
10006:4:0,component-7384d664050680c2,10006,4
10007:0:0,component-f5d8b8685c6b008f,10007,3
10008:0:0,component-1243d0a173368180,10008,3
10008:2:0,component-1243d0a173368180,10008,3
10009:0:0,component-fe837adcdb975c64,10009,2
10009:2:0,component-fe837adcdb975c64,10009,2
1000:0:0,component-cfc467d03a923d9b,1000,2
10010:0:0,component-9ce425ea412fff17,10010,0
10011:0:0,component-792a54306785d710,10011,3
10012:0:0,component-ff5de0043d068e77,10012,1
10013:0:0,component-4cf560a720dd5012,10013,1
10014:0:0,component-eda1e897c454d953,10014,4
10015:0:0,component-c18e3c5462d651ee,10015,0
10016:0:0,component-d57b073d9c352122,10016,2
10017:0:0,component-b37c8eadd20d45ef,10017,0
10018:0:0,component-469588732025bd43,10018,2
10018:2:0,component-469588732025bd43,10018,2
10019:0:0,component-c2248c92d04ec3c8,10019,2
1001:0:0,component-b0b3d8d9f132e6df,1001,1
10020:0:0,component-dc2feb2871da87a1,10020,1
10020:10:0,component-dc2feb2871da87a1,10020,1
10020:2:0,component-dc2feb2871da87a1,10020,1
10020:4:0,component-dc2feb2871da87a1,10020,1
10020:6:0,component-dc2feb2871da87a1,10020,1
10020:8:0,component-dc2feb2871da87a1,10020,1
10021:0:0,component-b725555fde4a31c7,10021,4
10021:2:0,component-b725555fde4a31c7,10021,4
10021:4:0,component-b725555fde4a31c7,10021,4
10022:0:0,component-d810bf14c5686a93,10022,0
10022:0:1,component-d810bf14c5686a93,10022,0
10023:0:0,component-033e6fecf8e5a51a,10023,4
10024:0:0,component-b7370926b5d6e5d1,10024,1
10025:0:0,component-b4688c1c34153e84,10025,0
10026:0:0,component-033d768538400cb1,10026,3
10027:0:0,component-9225bd044cb39a2c,10027,1
10028:0:0,component-8f4c74a2b9fd4482,10028,1
10029:0:0,component-bd70a1389b581892,10029,1
10029:2:0,component-bd70a1389b581892,10029,1
1002:0:0,component-1450d260edf6f20a,1002,4
1002:2:0,component-1450d260edf6f20a,1002,4
10030:0:0,component-3dc9be0bf7187d81,10030,3
10030:2:0,component-3dc9be0bf7187d81,10030,3
10031:0:0,component-331ee457c4ed7a77,10031,4
10031:2:0,component-331ee457c4ed7a77,10031,4
10032:0:0,component-7a2ac6d81ec30ae5,10032,4
10033:0:0,component-7e8481a95d908c19,10033,4
10034:0:0,component-d3368f4a1465d701,10034,3
10035:0:0,component-36d29a647460a9a0,10035,2
10036:0:0,component-a4bf734f9e6591cb,10036,2
10037:0:0,component-b02a2d7cb8543328,10037,1
10038:0:0,component-53e96c995a0b3ea9,10038,4
10039:0:0,component-a058653dd32fae91,10039,2
1003:0:0,component-a2209a9e854d4b29,1003,2
10040:0:0,component-59d92318349af026,10040,4
10040:2:0,component-59d92318349af026,10040,4
10041:0:0,component-6125068002084467,10041,3
10042:0:0,component-dbb8c77516b053e2,10042,2
10043:0:0,component-cb01b11bc1aabc53,10043,2
10044:0:0,component-907516e69cbbc42d,10044,0
10044:2:0,component-907516e69cbbc42d,10044,0
10045:0:0,component-0ae52720f17d7e19,10045,2
10046:0:0,component-8f4b55ecb558f505,10046,4
10047:0:0,component-cec877cd9463a954,10047,2
10048:1:0,component-3fec1cab99890ae3,10048,1
10049:0:0,component-0cc17b6f5523b47a,10049,4
10049:0:1,component-0cc17b6f5523b47a,10049,4
1004:0:0,component-52b929ad483e45fd,1004,2
10050:0:0,component-62030e35be06d1fa,10050,2
10051:0:0,component-1dc6f1a8294391f2,10051,0
10052:0:0,component-75f7d3485ee772e5,10052,0
10053:0:0,component-3b0e1df952689fe8,10053,4
10054:0:0,component-35de1f30061ee557,10054,1
10054:2:0,component-35de1f30061ee557,10054,1
10054:4:0,component-35de1f30061ee557,10054,1
10055:0:0,component-dadf2b447deacb6c,10055,0
10056:0:0,component-5c99ae26d5ba1472,10056,3
10056:2:0,component-5c99ae26d5ba1472,10056,3
10057:0:0,component-81a72159e39b328d,10057,3
10058:0:0,component-74853be1e976daaa,10058,1
10059:0:0,component-804b5dda85d504ec,10059,2
1005:1:0,component-b4b2ff33c1adebf0,1005,4
10060:0:0,component-b83b8f50a5d3c9af,10060,2
10061:0:0,component-c0e4ace835a971db,10061,0
10062:0:0,component-c3deb61a3582aa4d,10062,1
10063:0:0,component-f9ade91e57e06cba,10063,0
10064:0:0,component-135ef5e17f79002d,10064,3
10065:0:0,component-ccb9535da3e8ae99,10065,4
10066:0:0,component-aba99b8d4b123b00,10066,0
10067:0:0,component-f8abc2aabc25e6cd,10067,1
10068:0:0,component-7e3109ee9d05ea8f,10068,0
10069:0:0,component-b098a67b482576dc,10069,2
1006:0:0,component-246a73695886c81e,1006,3
10070:0:0,component-8a2745e809bec9c2,10070,4
10070:10:0,component-8a2745e809bec9c2,10070,4
10070:12:0,component-8a2745e809bec9c2,10070,4
10070:14:0,component-8a2745e809bec9c2,10070,4
10070:16:0,component-8a2745e809bec9c2,10070,4
10070:16:1,component-8a2745e809bec9c2,10070,4
10070:18:0,component-8a2745e809bec9c2,10070,4
10070:20:0,component-8a2745e809bec9c2,10070,4
10070:22:0,component-8a2745e809bec9c2,10070,4
10070:22:1,component-8a2745e809bec9c2,10070,4
10070:24:0,component-8a2745e809bec9c2,10070,4
10070:26:0,component-8a2745e809bec9c2,10070,4
10070:26:1,component-8a2745e809bec9c2,10070,4
10070:28:0,component-8a2745e809bec9c2,10070,4
10070:2:0,component-8a2745e809bec9c2,10070,4
10070:30:0,component-8a2745e809bec9c2,10070,4
10070:32:0,component-8a2745e809bec9c2,10070,4
10070:32:1,component-8a2745e809bec9c2,10070,4
10070:34:0,component-8a2745e809bec9c2,10070,4
10070:4:0,component-8a2745e809bec9c2,10070,4
10070:4:1,component-8a2745e809bec9c2,10070,4
10070:6:0,component-8a2745e809bec9c2,10070,4
10070:8:0,component-8a2745e809bec9c2,10070,4
10071:0:0,component-8ddb757033280978,10071,3
10072:0:0,component-8a072f6f6e5f12b4,10072,4
10073:0:0,component-42da11886a3bce93,10073,3
10074:1:0,component-c1dde8a7e8b08f92,10074,3
10074:3:0,component-c1dde8a7e8b08f92,10074,3
10074:5:0,component-c1dde8a7e8b08f92,10074,3
10075:0:0,component-0ce155c1fb14899e,10075,1
10076:0:0,component-b13af44d2747dc2d,10076,3
10077:0:0,component-4a91a08f8153b617,10077,4
10078:0:0,component-1bd3b8825a1218e6,10078,4
10079:0:0,component-3a3e246b023a2603,10079,3
1007:0:0,component-dc8c005466791ff2,1007,2
10080:0:0,component-5ab4f5edb328f54f,10080,0
10081:0:0,component-f361b364a6e12510,10081,3
10082:0:0,component-84b566ed16592dde,10082,2
10083:0:0,component-9d7159ee4afa0a75,10083,2
10084:0:0,component-a3360381904cf846,10084,1
10085:0:0,component-3af836e235383c0c,10085,4
10086:1:0,component-7ff62b81ee5cd957,10086,2
10086:3:0,component-7ff62b81ee5cd957,10086,2
10086:5:0,component-7ff62b81ee5cd957,10086,2
10087:0:0,component-a547aae3099c9628,10087,2
10087:2:0,component-a547aae3099c9628,10087,2
10088:0:0,component-d3026ef02435632f,10088,4
10088:2:0,component-d3026ef02435632f,10088,4
10089:0:0,component-e9719232c5a860f7,10089,0
1008:0:0,component-35a889a3bfdfbe30,1008,3
1008:2:0,component-35a889a3bfdfbe30,1008,3
10090:0:0,component-7f24664cf562f7ce,10090,0
10091:0:0,component-74d97bc1e4fe75b0,10091,2
10091:2:0,component-74d97bc1e4fe75b0,10091,2
10092:0:0,component-370d93f4f1b8c227,10092,0
10093:0:0,component-56de0e14adc37552,10093,2
10093:2:0,component-56de0e14adc37552,10093,2
10094:0:0,component-12f0b1349ff99846,10094,2
10095:0:0,component-2b7b3926ae8219f7,10095,1
10096:0:0,component-ada43c2fcb814d77,10096,3
10096:2:0,component-ada43c2fcb814d77,10096,3
10096:4:0,component-ada43c2fcb814d77,10096,3
10096:6:0,component-ada43c2fcb814d77,10096,3
10097:0:0,component-45f7eba284913582,10097,1
10098:0:0,component-541aefdd65a5f960,10098,0
10098:2:0,component-541aefdd65a5f960,10098,0
10098:2:1,component-541aefdd65a5f960,10098,0
10099:0:0,component-5bb42f9fac3f114b,10099,0
1009:1:0,component-3aa68c9274de125d,1009,2
100:0:0,component-19a9b966dc484743,100,4
10100:0:0,component-c3ff3b9ce052b818,10100,3
